,Description,total_sales,total_revenue
2804,MODERN CHRISTMAS BAUBLE CANDLE ,10,4.2
2805,MODERN CHRISTMAS TREE CANDLE,4,7.6000000000000005
2806,MODERN CHRISTMAS TREE CANDLE ,2,4.2
2807,MODERN FLORAL STATIONERY SET,1786,2818.3000000000015
2808,MODERN VINTAGE COTTON SHOPPING BAG,855,1011.4499999999995
2809,MONEY BOX BISCUITS DESIGN,1590,2112.9
2810,MONEY BOX CONFECTIONERY DESIGN,614,726.3499999999999
2811,MONEY BOX FIRST ADE DESIGN,384,461.76
2812,MONEY BOX FIRST AID DESIGN,43,34.32
2813,MONEY BOX HOUSEKEEPING DESIGN,1304,1552.7300000000002
2814,MONEY BOX KINGS CHOICE DESIGN,2380,2942.7799999999997
2815,MONEY BOX POCKET MONEY DESIGN,1573,1854.0500000000006
2816,MONSTERS STENCIL CRAFT,3938,4600.54
2817,MONTANA DIAMOND CLUSTER EARRINGS,6,15.299999999999999
2818,MONTANA DIAMOND CLUSTER NECKLACE,4,35.8
2819,MOODY BOY  DOOR HANGER ,2060,1306.4400000000014
2820,MOODY GIRL DOOR HANGER ,2509,1614.3100000000018
2821,MOON INCENSE,50,10.5
2822,MOP PENDANT SHELL NECKLACE,10,49.50000000000001
2823,MORE BUTTER METAL SIGN ,1520,1977.8499999999967
2824,MOROCCAN BEATEN METAL DISH,164,707.7999999999998
2825,MOROCCAN BEATEN METAL DISH LARGE,104,793.74
2826,MOROCCAN BEATEN METAL MIRROR,262,1442.9
2827,MOROCCAN TEA GLASS,11309,8407.609999999977
2828,MOSAIC CANDLE DISH BLUE PURPLE,144,122.39999999999999
2829,MOSAIC GLASS BALL CANDLEHOLDER,97,121.25
2830,MOTHER'S KITCHEN SPOON REST ,178,690.71
2831,MOTORING TISSUE BOX,2315,1353.2099999999994
2832,MOUSE TOY WITH PINK T-SHIRT,860,3228.8
2833,MOUSEY LONG LEGS SOFT TOY,208,519.6000000000003
2834,MR ROBOT SOFT TOY,345,1200.95
2835,MRS ROBOT SOFT TOY,269,972.5500000000003
2836,MUG AND COASTER SET RED CIRCLES,378,158.76
2837,MUG PINK AND PURPLE ARABIC DESIGN,6,3.9000000000000004
2838,MULTI COLOUR SILVER T-LIGHT HOLDER,21125,16833.350000000068
2839,MULTI HEARTS  STICKERS,1038,869.3000000000013
2840,MULTICOLOUR  CONFETTI IN TUBE,412,601.5600000000001
2841,MULTICOLOUR 3D BALLS GARLAND,596,1454.9999999999977
2842,MULTICOLOUR CRUSOE CHECK LAMPSHADE,48,20.160000000000004
2843,MULTICOLOUR DOTS PLATE,688,71.80000000000001
2844,MULTICOLOUR EASTER RABBIT ,52,101.40000000000002
2845,MULTICOLOUR FEATHERS CURTAIN,72,236.40000000000003
2846,MULTICOLOUR GLASS PLATE,116,63.8
2847,MULTICOLOUR HONEYCOMB FAN,1354,1016.5199999999986
2848,MULTICOLOUR HONEYCOMB PAPER GARLAND,1287,1724.3499999999995
2849,MULTICOLOUR POLKADOT PLATE,696,78.60000000000001
2850,MULTICOLOUR RABBIT EGG WARMER,260,309.64999999999986
2851,MULTICOLOUR SPRING FLOWER MUG,13083,2539.3099999999963
2852,MUM'S KITCHEN CLOCK,104,471.90000000000003
2853,MUMMY MOUSE RED GINGHAM RIBBON,198,1058.1000000000006
2854,MURANO STYLE GLASS BRACELET BLACK,46,161.0
2855,MURANO STYLE GLASS BRACELET GOLD,29,101.5
2856,MURANO STYLE GLASS BRACELET PINK,26,91.0
2857,MURANO STYLE GLASS BRACELET RED,23,80.5
2858,MUSHROOM BLUE HOT WATER BOTTLE,665,1889.7500000000034
2859,MUSICAL ZINC HEART DECORATION ,2498,943.6400000000001
2860,Manual,9391,151777.66999999993
2861,N0 SINGING METAL SIGN,1197,2523.7800000000007
2862,NAMASTE SWAGAT INCENSE,3714,982.4399999999993
2863,NATURAL BARK CANDLE LARGE,337,1369.25
2864,NATURAL BARK CANDLE SMALL,491,1496.75
2865,NATURAL HANGING QUILTED HEARTS ,1427,1113.1300000000012
2866,NATURAL RIVIERA HANDBAG,52,116.7
2867,NATURAL SLATE CHALKBOARD LARGE ,4016,17637.160000000084
2868,NATURAL SLATE HEART CHALKBOARD ,14187,40276.1700000002
2869,NATURAL SLATE RECTANGLE CHALKBOARD,6453,10285.60999999999
2870,NECKLACE+BRACELET PINK BUTTERFLY,59,150.45000000000002
2871,NECKLACE+BRACELET SET BLUE BLOSSOM,31,79.04999999999998
2872,NECKLACE+BRACELET SET BLUE HIBISCUS,29,73.94999999999997
2873,NECKLACE+BRACELET SET FRUIT SALAD ,34,86.69999999999996
2874,NECKLACE+BRACELET SET PINK BLOSSOM,7,17.849999999999998
2875,NECKLACE+BRACELET SET PINK DAISY,22,56.09999999999999
2876,NEW BAROQUE B'FLY NECKLACE BLACK,5,42.5
2877,NEW BAROQUE B'FLY NECKLACE CRYSTAL,3,25.5
2878,NEW BAROQUE B'FLY NECKLACE GREEN,6,51.0
2879,NEW BAROQUE B'FLY NECKLACE MONTANA,12,102.0
2880,NEW BAROQUE B'FLY NECKLACE PINK,13,110.5
2881,NEW BAROQUE B'FLY NECKLACE RED,9,76.5
2882,NEW BAROQUE BLACK BOXES,5,63.75
2883,NEW BAROQUE BLACK PHOTO ALBUM,64,449.6499999999999
2884,NEW BAROQUE IVORY CUSHION COVER ,254,607.6999999999999
2885,NEW BAROQUE JEWELLERY BOX ,94,717.3000000000001
2886,NEW BAROQUE LARGE NECKLACE BLK/WHIT,9,76.5
2887,NEW BAROQUE SMALL NECKLACE BLACK,21,178.5
2888,NEW BAROQUE WALL MIRROR,1,12.75
2889,NEW ENGLAND CERAMIC CAKE SERVER,87,221.85000000000014
2890,NEW ENGLAND EGG WARMER,120,66.0
2891,NEW ENGLAND MILK JUG W GIFT BOX,28,166.6
2892,NEW ENGLAND MUG W GIFT BOX,28,71.39999999999999
2893,NEW ENGLAND PLACEMATS,32,120.0
2894,NEW ENGLAND TEATOWELS,124,316.2000000000001
2895,NEWSPAPER STAND,300,3210.2999999999984
2896,NIGHTINGALE COATHOOK WHITE,317,493.4500000000001
2897,NINJA RABBIT BLACK,237,297.64
2898,NINJA RABBIT PINK,276,339.3
2899,NO JUNK MAIL METAL SIGN,4039,3040.0700000000043
2900,NO SINGING METAL SIGN,11194,22097.04000000019
2901,NOEL GARLAND PAINTED ZINC ,1345,1027.4099999999996
2902,NOEL WOODEN BLOCK LETTERS ,1412,8343.18999999999
2903,NOVELTY BISCUITS CAKE STAND 3 TIER,767,7164.4699999999775
2904,NUMBER TILE COTTAGE GARDEN 0 ,55,107.25
2905,NUMBER TILE COTTAGE GARDEN 1,70,136.49999999999997
2906,NUMBER TILE COTTAGE GARDEN 2,69,134.54999999999995
2907,NUMBER TILE COTTAGE GARDEN 3 ,52,101.4
2908,NUMBER TILE COTTAGE GARDEN 4,59,115.05
2909,NUMBER TILE COTTAGE GARDEN 5,50,97.50000000000001
2910,NUMBER TILE COTTAGE GARDEN 6,58,113.10000000000001
2911,NUMBER TILE COTTAGE GARDEN 7,54,105.30000000000001
2912,NUMBER TILE COTTAGE GARDEN 8,52,101.4
2913,NUMBER TILE COTTAGE GARDEN 9,60,117.00000000000001
2914,NUMBER TILE COTTAGE GARDEN No,55,115.49999999999999
2915,"NUMBER TILE COTTAGE GARDEN, 0 ",56,109.19999999999999
2916,"NUMBER TILE COTTAGE GARDEN, 1",63,122.85
2917,"NUMBER TILE COTTAGE GARDEN, 2",56,109.19999999999999
2918,"NUMBER TILE COTTAGE GARDEN, 3 ",56,109.19999999999999
2919,"NUMBER TILE COTTAGE GARDEN, 4",56,109.19999999999999
2920,"NUMBER TILE COTTAGE GARDEN, 5",57,111.14999999999999
2921,"NUMBER TILE COTTAGE GARDEN, 6",56,109.19999999999999
2922,"NUMBER TILE COTTAGE GARDEN, 7",56,109.19999999999999
2923,"NUMBER TILE COTTAGE GARDEN, 8",56,109.19999999999999
2924,"NUMBER TILE COTTAGE GARDEN, 9",58,113.1
2925,"NUMBER TILE COTTAGE GARDEN, No",43,90.30000000000001
2926,NUMBER TILE VINTAGE FONT 0,63,71.29
2927,NUMBER TILE VINTAGE FONT 1,73,90.79000000000002
2928,NUMBER TILE VINTAGE FONT 2,81,106.39000000000004
2929,NUMBER TILE VINTAGE FONT 3,91,125.89000000000004
2930,NUMBER TILE VINTAGE FONT 4,78,100.54000000000002
2931,NUMBER TILE VINTAGE FONT 5,78,100.54000000000002
2932,NUMBER TILE VINTAGE FONT 6 ,85,114.19000000000003
2933,NUMBER TILE VINTAGE FONT 7,74,92.74000000000002
2934,NUMBER TILE VINTAGE FONT 8,70,84.94000000000003
2935,NUMBER TILE VINTAGE FONT 9 ,66,77.14000000000001
2936,NUMBER TILE VINTAGE FONT No ,145,160.37999999999997
2937,"NUMBER TILE VINTAGE FONT, 0",8,17.36
2938,"NUMBER TILE VINTAGE FONT, 1",8,17.36
2939,"NUMBER TILE VINTAGE FONT, 2",8,17.36
2940,"NUMBER TILE VINTAGE FONT, 3",8,17.36
2941,"NUMBER TILE VINTAGE FONT, 4",8,17.36
2942,"NUMBER TILE VINTAGE FONT, 5",8,17.36
2943,"NUMBER TILE VINTAGE FONT, 6 ",8,17.36
2944,"NUMBER TILE VINTAGE FONT, 7",8,17.36
2945,"NUMBER TILE VINTAGE FONT, 8",8,17.36
2946,"NUMBER TILE VINTAGE FONT, No ",22,48.6
2947,NURSE'S BAG SOFT TOY,350,3112.4999999999977
2948,"NURSERY A,B,C PAINTED LETTERS",397,2230.1499999999987
2949,Next Day Carriage,79,1200.0
2950,OCCASIONS GIFT CARD ASSORTMENT,120,66.0
2951,OCEAN SCENT CANDLE IN JEWELLED BOX,1478,3862.88
2952,OCEAN SCENT CANDLE JEWELLED DRAWER,88,374.0
2953,OCEAN STRIPE HAMMOCK ,294,2253.300000000002
2954,OFFICE MUG WARMER BLACK+SILVER ,1937,5576.949999999992
2955,OFFICE MUG WARMER CHOC+BLUE,1020,3315.5399999999963
2956,OFFICE MUG WARMER PINK,952,2899.5400000000013
2957,OFFICE MUG WARMER POLKADOT,995,3186.789999999996
2958,OLD DOC RUSSEL METAL SIGN,209,438.9000000000003
2959,OLD DOC.RUSSEL METAL SIGN,9,18.900000000000002
2960,OLD ROSE COMBO BEAD NECKLACE,12,35.400000000000006
2961,OLIVE CHALET BIRDFEEDER,251,681.25
2962,OPAL WHITE/SILVER FLOWER NECKLACE,1,5.95
2963,OPEN CLOSED METAL SIGN,2896,13926.810000000012
2964,OPIUM SCENTED VOTIVE CANDLE,1992,497.03999999999974
2965,OPULENT VELVET CANDLE IN BOX,26,39.300000000000004
2966,OPULENT VELVET SET/3 CANDLES,1202,1713.2999999999997
2967,ORANGE CANDLE,12,10.2
2968,ORANGE COCKTAIL GLASS LAMP,60,125.99999999999999
2969,ORANGE FELT VASE + FLOWERS,9,11.25
2970,ORANGE FLOWER MUG ,5395,571.7099999999999
2971,ORANGE PENDANT TRIPLE SHELL NECKLAC,7,34.650000000000006
2972,ORANGE SCENTED SET/9 T-LIGHTS,1404,1170.0000000000014
2973,ORANGE TV TRAY TABLE ,497,1061.15
2974,ORANGE VOTIVE CANDLE,1680,425.7599999999998
2975,ORANGE/FUSCHIA STONES NECKLACE,9,44.550000000000004
2976,ORANGE/WHT/FUSCHIA STONES NECKLACE,6,29.700000000000003
2977,ORGANISER WOOD ANTIQUE WHITE ,643,5323.8
2978,"ORGANISER WOOD, ANTIQUE WHITE ",3,25.5
2979,ORIENTAL BLUE C/COVER ,9,41.85000000000001
2980,ORIENTAL BLUE CUSHION COVER ,218,299.7
2981,ORIENTAL RED C/COVER ,20,88.19999999999999
2982,ORIENTAL RED CUSHION COVER ,132,239.8
2983,ORIGAMI JASMINE INCENSE IN TUBE,255,217.6
2984,ORIGAMI JASMINE INCENSE+FLOWER ,19,11.100000000000001
2985,ORIGAMI JASMINE INCENSE/CANDLE SET,617,590.85
2986,ORIGAMI LAVENDER INCENSE CONES,96,40.32
2987,ORIGAMI LAVENDER INCENSE IN TUBE,213,89.46000000000001
2988,ORIGAMI LAVENDER INCENSE+FLOWER,334,217.1
2989,ORIGAMI LAVENDER INCENSE/CANDL SET ,777,747.2499999999999
2990,ORIGAMI OPIUM INCENSE CONES,93,33.3
2991,ORIGAMI OPIUM INCENSE/CANDLE SET ,240,236.40000000000006
2992,ORIGAMI OPIUM SCENT INCENSE+FLOWER,124,80.60000000000001
2993,ORIGAMI ROSE INCENSE CONES,476,194.28000000000003
2994,ORIGAMI ROSE INCENSE IN TUBE,1048,515.4599999999999
2995,ORIGAMI ROSE INCENSE+FLOWER,207,129.3
2996,ORIGAMI ROSE INCENSE/CANDLE SET ,426,426.7
2997,ORIGAMI SANDLEWOOD INCENSE CONES,61,23.699999999999996
2998,ORIGAMI SANDLEWOOD INCENSE IN TUBE,61,25.05
2999,ORIGAMI SANDLEWOOD INCENSE+FLOWER,380,315.1500000000001
3000,ORIGAMI SANDLEWOOD INCENSE/CAND SET,493,451.45
3001,ORIGAMI VANILLA INCENSE CONES,247,111.81000000000002
3002,ORIGAMI VANILLA INCENSE+FLOWER ,254,150.0
3003,ORIGAMI VANILLA INCENSE/CANDLE SET ,644,586.5999999999999
3004,ORNATE EDWARDIAN CANDLE HOLDER,6,47.7
3005,OVAL  MINI PORTRAIT FRAME,315,611.8500000000003
3006,OVEN MITT APPLE DESIGN,337,468.65000000000003
3007,OVEN MITT APPLES DESIGN,1549,2214.610000000001
3008,OVERNIGHT BAG VINTAGE ROSE PAISLEY,799,3899.049999999989
3009,OWL DOORSTOP,954,4569.539999999985
3010,OWLS CHARLOTTE BAG,1,0.85
3011,OYSTER TRINKET BOX,114,295.62
3012,PACK 20 DOLLY PEGS,2616,2036.4000000000012
3013,PACK 20 ENGLISH ROSE PAPER NAPKINS,6598,5096.739999999992
3014,PACK 3 BOXES BIRD PANETTONE ,177,340.32999999999987
3015,PACK 3 BOXES BIRD PANNETONE ,3613,6735.949999999985
3016,PACK 3 BOXES CHRISTMAS PANETTONE,39,95.66999999999999
3017,PACK 3 BOXES CHRISTMAS PANNETONE,4286,8066.599999999981
3018,PACK 3 FIRE ENGINE/CAR PATCHES,407,508.75
3019,PACK 3 IRON ON DOG PATCHES,450,563.71
3020,PACK 4 FLOWER/BUTTERFLY PATCHES,351,438.75
3021,PACK 6 HEART/ICE-CREAM PATCHES,799,1001.17
3022,PACK OF 12 50'S CHRISTMAS TISSUES,3413,1270.589999999999
3023,PACK OF 12 BLUE PAISLEY TISSUES ,6000,1776.8400000000017
3024,PACK OF 12 CHRISTMAS FUN CARDS,47,138.65000000000003
3025,PACK OF 12 CIRCUS PARADE TISSUES ,3643,1084.0900000000008
3026,PACK OF 12 COLOURED PENCILS,7322,5831.359999999984
3027,PACK OF 12 DOILEY TISSUES,72,28.08
3028,PACK OF 12 DOLLY GIRL TISSUES,1200,468.0
3029,PACK OF 12 HEARTS DESIGN TISSUES ,24766,8441.639999999941
3030,PACK OF 12 LONDON TISSUES ,37084,10519.359999999993
3031,PACK OF 12 PAISLEY PARK TISSUES ,1614,629.4599999999999
3032,PACK OF 12 PINK PAISLEY TISSUES ,25150,6879.999999999973
3033,PACK OF 12 PINK POLKADOT TISSUES,4952,1410.220000000002
3034,PACK OF 12 PINK SPOT TISSUES ,8151,3058.9300000000017
3035,PACK OF 12 RED APPLE TISSUES,1175,428.01000000000005
3036,PACK OF 12 RED RETROSPOT TISSUES ,8425,2533.7700000000036
3037,PACK OF 12 RED SPOTTY TISSUES ,22641,5922.509999999991
3038,PACK OF 12 SKULL TISSUES,15449,4246.2900000000045
3039,PACK OF 12 SPACEBOY TISSUES,5427,1673.6500000000015
3040,PACK OF 12 STICKY BUNNIES,1866,1200.899999999999
3041,PACK OF 12 SUKI TISSUES ,31340,9774.279999999926
3042,PACK OF 12 TRADITIONAL CRAYONS,17090,6889.769999999999
3043,PACK OF 12 VINTAGE CHRISTMAS TISSUE,2630,995.4599999999995
3044,PACK OF 12 VINTAGE DOILY TISSUES,2087,783.6899999999995
3045,PACK OF 12 VINTAGE LEAF TISSUES ,1474,544.6199999999999
3046,PACK OF 12 WOODLAND TISSUES ,25859,6855.189999999978
3047,PACK OF 20 FAIRY CAKE PAPER NAPKINS,619,505.98999999999984
3048,PACK OF 20 NAPKINS PANTRY DESIGN,8141,6497.869999999977
3049,PACK OF 20 NAPKINS RED APPLES,5430,4246.439999999982
3050,PACK OF 20 SKULL PAPER NAPKINS,8073,5973.08999999998
3051,PACK OF 20 SPACEBOY NAPKINS,2962,2302.479999999997
3052,PACK OF 6 BIRDY GIFT TAGS,16784,19950.84999999999
3053,PACK OF 6 COCKTAIL PARASOL STRAWS,2460,958.3200000000006
3054,PACK OF 6 HANDBAG GIFT BOXES,1764,4455.600000000012
3055,PACK OF 6 LARGE FRUIT STRAWS ,2155,1275.710000000003
3056,PACK OF 6 PANETTONE GIFT BOXES,226,513.9100000000001
3057,PACK OF 6 PANNETONE GIFT BOXES,4793,11725.480000000009
3058,PACK OF 6 SANDCASTLE FLAGS ASSORTED,5383,4273.169999999989
3059,PACK OF 6 SKULL PAPER CUPS,6320,3848.8000000000147
3060,PACK OF 6 SKULL PAPER PLATES,7649,5544.049999999979
3061,PACK OF 6 SMALL FRUIT STRAWS,1617,644.5799999999999
3062,PACK OF 6 SWEETIE GIFT BOXES,2459,6025.360000000011
3063,PACK OF 60 DINOSAUR CAKE CASES,30881,14818.010000000084
3064,PACK OF 60 MUSHROOM CAKE CASES,14053,7073.6299999999865
3065,PACK OF 60 PINK PAISLEY CAKE CASES,54592,26407.35000000026
3066,PACK OF 60 SPACEBOY CAKE CASES,20867,10465.490000000009
3067,PACK OF 72 RETRO SPOT CAKE CASES,45129,21838.230000000258
3068,PACK OF 72 RETROSPOT CAKE CASES,44721,21551.800000000283
3069,PACK OF 72 SKULL CAKE CASES,38530,18319.180000000102
3070,PACK OF SIX LED TEA LIGHTS,1715,4808.550000000004
3071,PACK/12 BLUE FOLKART CARDS,96,283.19999999999976
3072,PACK/12 BLUE REINDEER CARD,72,212.39999999999995
3073,PACK/12 DECOUPAGE CARD,35,103.25000000000004
3074,PACK/12 RUSSIAN DOLL CARDS,2,5.9
3075,PACK/12 XMAS FUN CARD,256,736.0000000000003
3076,PACKING CHARGE,14,105.0
3077,PADDED HOLLY CHRISTMAS DECORATION ,100,44.49000000000001
3078,PADDED RED HEART DECORATION,113,55.76000000000002
3079,PADS TO MATCH ALL CUSHIONS,18,0.017000000000000008
3080,PAINT YOUR OWN CANVAS SET,4025,6382.530000000013
3081,PAINT YOUR OWN EGGS IN CRATE,164,299.36
3082,PAINTED BIRD ASSORTED CHRISTMAS,409,691.21
3083,PAINTED HEART WREATH WITH BELL,12,15.0
3084,PAINTED LIGHTBULB RAINBOW DESIGN,171,68.22000000000001
3085,PAINTED LIGHTBULB STAR+ MOON,259,105.18000000000004
3086,PAINTED METAL HEART WITH HOLLY BELL,2268,2224.24
3087,PAINTED METAL PEARS ASSORTED,10255,16907.510000000188
3088,PAINTED METAL STAR WITH HOLLY BELLS,2304,1918.1599999999962
3089,PAINTED METAL TREE WITH HOLLY BELLS,722,1027.6999999999996
3090,PAINTED PINK RABBIT ,619,526.1499999999999
3091,PAINTED SEA SHELL METAL WINDCHIME,97,100.31000000000002
3092,PAINTED YELLOW WOODEN DAISY,502,426.70000000000005
3093,PAIR BUTTERFLY HAIR CLIPS,29,108.75
3094,PAIR OF ENAMEL BUTTERFLY HAIRCLIP,18,60.300000000000004
3095,PAIR OF ENAMEL FLOWER CLUSTER SLIDE,82,192.9
3096,PAIR OF PINK FLOWER CLUSTER SLIDE,10,25.5
3097,PAIR PADDED HANGERS PINK CHECK,151,527.85
3098,PAIR PINK/BLACK COATHANGERS,21,40.95
3099,PAISLEY PARK CARD,348,141.84000000000006
3100,PAISLEY PATTERN  STICKERS,515,358.79000000000025
3101,PALE PINK/AMETHYST STONE NECKLACE,3,29.849999999999998
3102,PANDA AND BUNNIES STICKER SHEET,916,778.6000000000009
3103,PANTRY 3 HOOK ROLLING PIN HANGER,202,757.5
3104,PANTRY APPLE CORER,435,601.9500000000003
3105,PANTRY CHOPPING BOARD,1138,5695.860000000006
3106,PANTRY HOOK BALLOON WHISK ,196,407.68
3107,PANTRY HOOK SPATULA,152,316.16000000000014
3108,PANTRY HOOK TEA STRAINER ,159,330.7200000000001
3109,PANTRY KITCHEN THERMOMETER ,88,110.0
3110,PANTRY MAGNETIC  SHOPPING LIST,3063,4341.1900000000005
3111,PANTRY PASTRY BRUSH,1044,1307.0500000000004
3112,PANTRY ROLLING PIN,2406,9180.529999999999
3113,PANTRY SCRUBBING BRUSH,2286,3656.940000000012
3114,PANTRY WASHING UP BRUSH,3913,5785.709999999989
3115,PAPER BUNTING COLOURED LACE,4038,11086.900000000007
3116,PAPER BUNTING PAISLEY PARK,246,661.7
3117,PAPER BUNTING RETRO SPOTS,7595,20723.250000000106
3118,PAPER BUNTING RETROSPOT,7656,20933.24000000013
3119,PAPER BUNTING VINTAGE PAISLEY,3220,8842.149999999972
3120,PAPER BUNTING VINTAGE PARTY,420,1175.0000000000005
3121,PAPER BUNTING WHITE LACE,7752,21336.35000000009
3122,PAPER CHAIN KIT 50'S CHRISTMAS ,28380,76598.17999999909
3123,PAPER CHAIN KIT EMPIRE,8437,23049.950000000088
3124,PAPER CHAIN KIT LONDON,817,2292.990000000001
3125,PAPER CHAIN KIT RETRO SPOT,7351,19804.5500000001
3126,PAPER CHAIN KIT RETROSPOT,5514,15411.860000000055
3127,PAPER CHAIN KIT SKULLS ,2482,6651.89999999998
3128,PAPER CHAIN KIT VINTAGE CHRISTMAS,16469,44998.26999999988
3129,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6
3130,PAPER LANTERN 5 POINT SEQUIN STAR,50,287.5
3131,PAPER LANTERN 5 POINT STAR MOON ,106,439.90000000000003
3132,PAPER LANTERN 5 POINT STAR MOON 30,10,41.5
3133,PAPER LANTERN 5 POINT STUDDED STAR,8,46.0
3134,PAPER LANTERN 6 POINT SNOW STAR,26,107.9
3135,PAPER LANTERN 7 POINT SNOW STAR,99,658.35
3136,PAPER LANTERN 9 POINT DELUXE STAR,347,2091.55
3137,PAPER LANTERN 9 POINT HOLLY STAR 23,18,74.7
3138,PAPER LANTERN 9 POINT HOLLY STAR 40,6,37.5
3139,PAPER LANTERN 9 POINT HOLLY STAR L,69,431.25
3140,PAPER LANTERN 9 POINT HOLLY STAR S,82,340.30000000000007
3141,PAPER LANTERN 9 POINT SNOW STAR,246,1040.1000000000001
3142,PAPER LANTERN 9 POINT SNOW STAR ,234,1249.5
3143,PAPER POCKET TRAVELING FAN ,9818,1156.12
3144,PAPERWEIGHT CHILDHOOD MEMORIES,795,1378.2199999999998
3145,PAPERWEIGHT HOME SWEET HOME,305,545.3100000000001
3146,PAPERWEIGHT KINGS CHOICE ,337,499.3500000000001
3147,PAPERWEIGHT SAVE THE PLANET,624,1160.1599999999999
3148,PAPERWEIGHT VINTAGE COLLAGE,800,1289.2299999999998
3149,PAPERWEIGHT VINTAGE PAISLEY,214,313.86
3150,PARISIENNE CURIO CABINET,471,3437.300000000001
3151,PARISIENNE JEWELLERY DRAWER ,765,5399.019999999999
3152,PARISIENNE KEY CABINET ,662,3673.7
3153,PARISIENNE SEWING BOX,296,3464.7999999999993
3154,PARLOUR CERAMIC WALL HOOK,443,1819.249999999999
3155,PARTY BUNTING,23464,103283.38000000113
3156,PARTY CHARMS 50 PIECES,2091,1552.6500000000005
3157,PARTY CONE CHRISTMAS DECORATION ,6896,5704.039999999997
3158,PARTY CONES CANDY ASSORTED,3867,4588.65
3159,PARTY CONES CANDY DECORATION,296,233.28
3160,PARTY CONES CANDY TREE DECORATION,2510,1998.5600000000018
3161,PARTY CONES CARNIVAL ASSORTED,3445,3998.45
3162,PARTY FOOD SHOPPER BAG,1392,1705.8
3163,PARTY INVITES BALLOON GIRL,1208,864.2000000000008
3164,PARTY INVITES DINOSAURS,1550,1294.1000000000015
3165,PARTY INVITES FOOTBALL,1303,919.2700000000008
3166,PARTY INVITES JAZZ HEARTS,1363,1136.7100000000019
3167,PARTY INVITES SPACEMAN,1009,833.5300000000011
3168,PARTY INVITES WOODLAND,2216,1824.320000000003
3169,PARTY METAL SIGN ,7444,10392.719999999943
3170,PARTY PIZZA DISH BLUE POLKADOT,1032,371.46
3171,PARTY PIZZA DISH BLUE RETROSPOT,202,171.69999999999993
3172,PARTY PIZZA DISH BLUE WHITE SPOT ,41,34.849999999999994
3173,PARTY PIZZA DISH BLUE+WHITE SPOT ,24,20.4
3174,PARTY PIZZA DISH GREEN POLKADOT,1005,404.30999999999995
3175,PARTY PIZZA DISH GREEN RETROSPOT,83,70.55
3176,PARTY PIZZA DISH GREEN WHITE SPOT ,29,24.65
3177,PARTY PIZZA DISH GREEN+WHITE SPOT ,12,10.2
3178,PARTY PIZZA DISH PINK POLKADOT,1109,426.2899999999998
3179,PARTY PIZZA DISH PINK RETROSPOT,155,131.74999999999997
3180,PARTY PIZZA DISH PINK WHITE SPOT ,56,47.60000000000001
3181,PARTY PIZZA DISH PINK+WHITE SPOT ,24,20.4
3182,PARTY PIZZA DISH RED RETROSPOT,2506,1380.9399999999996
3183,PARTY PIZZA DISH RED WHITE SPOT ,464,394.40000000000003
3184,PARTY PIZZA DISH RED+WHITE SPOT ,12,10.2
3185,PARTY TIME DESIGN FLANNEL,579,307.80999999999983
3186,PARTY TIME PENCIL ERASERS,2232,469.41999999999973
3187,PASTA ENAMEL/BRASS CONTAINER,10,37.5
3188,PASTEL BLUE PHOTO ALBUM,24,46.8
3189,PASTEL BLUE PHOTO ALBUM ,1034,469.2100000000001
3190,PASTEL COLOUR HONEYCOMB FAN,986,709.8899999999986
3191,PASTEL PINK PHOTO ALBUM,100,199.79999999999998
3192,PASTEL PINK PHOTO ALBUM ,660,266.45000000000005
3193,PASTEL STRIPE HAMMOCK ,194,1458.3000000000004
3194,PATCHWORK PENCIL CASE BUTTERFLY ,247,485.49000000000007
3195,PEACE SMALL WOOD LETTERS,439,3031.65
3196,PEACE WOODEN BLOCK LETTERS,749,4492.309999999986
3197,PEACH KNITTED HEN ,388,530.7599999999998
3198,"PEARL & SHELL 42""NECKL. GREEN",17,182.75
3199,"PEARL & SHELL 42""NECKL. IVORY",28,301.0
3200,"PEARL & SHELL 42""NECKL. PINK",43,380.89
3201,PEARL AND CHERRY QUARTZ BRACLET,3,10.5
3202,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,3648,5792.070000000005
3203,PEARLISED IVORY HEART LARGE ,415,651.15
3204,PEARLISED IVORY HEART SMALL ,217,266.21000000000004
3205,PEG BAG APPLE DESIGN,384,866.7
3206,PEG BAG APPLES DESIGN,1586,3813.6700000000124
3207,"PEN, 10 COLOURS - SPACEBOY",24,20.4
3208,PENCIL CASE GINGHAM FOREST,36,106.2
3209,PENCIL CASE LIFE IS BEAUTIFUL,1138,3311.2999999999934
3210,PENNY FARTHING BIRTHDAY CARD,6083,2474.2899999999904
3211,PENS ASSORTED FUNKY JEWELED ,5401,1406.2899999999981
3212,PENS ASSORTED FUNNY FACE,12170,4764.980000000014
3213,PENS ASSORTED SPACEBALL,6758,2221.099999999997
3214,PERIWINKLE T-LIGHT HOLDER,3134,1062.1
3215,"PET MUG, BUDGIE",119,49.98
3216,"PET MUG, GOLDFISH",81,28.270000000000003
3217,PETIT TRAY CHIC,993,1606.7299999999987
3218,PHARMACIE FIRST AID TIN,1642,11093.9
3219,PHOTO CLIP LINE,320,401.21
3220,PHOTO CUBE,3928,6011.24
3221,PHOTO FRAME 3 CLASSIC HANGING,771,7484.399999999984
3222,PHOTO FRAME CORNICE,4246,12280.180000000024
